бац межд.; предик.
босни́ец мо 5*a
пуни́ец мо 5*a
олимпи́ец мо 5*a
кровопи́ец мо 5*a
каспи́ец мо 5*a
ари́ец мо 5*a
икари́ец мо 5*a
мари́ец мо 5*a
калабри́ец мо 5*a
александри́ец мо 5*a
ибери́ец мо 5*a
нигери́ец мо 5*a
киммери́ец мо 5*a
иллири́ец мо 5*a
сири́ец мо 5*a
ассири́ец мо 5*a
дори́ец мо 5*a
евпатори́ец мо 5*a
бактри́ец мо 5*a
австри́ец мо 5*a
гури́ец мо 5*a
лигури́ец мо 5*a
астури́ец мо 5*a
малагаси́ец мо 5*a
галиси́ец мо 5*a
манси́ец мо 5*a
феодоси́ец мо 5*a
новоросси́ец мо 5*a
балти́ец мо 5*a
прибалти́ец мо 5*a
византи́ец мо 5*a
флоренти́ец мо 5*a
беоти́ец мо 5*a
парти́ец мо 5*a
мальти́ец мо 5*a
софи́ец мо 5*a
филадельфи́ец мо 5*a
кампучи́ец мо 5*a
ла́кец мо 5*a
ира́кец мо 5*a
мозамби́кец мо 5*a
геленджи́кец мо 5*a
на́льчикец мо 5*a
владивосто́кец мо 5*a
ньюйо́ркец мо 5*a
вале́ц м 5*b
дава́лец мо 5*a
перева́лец м 5*a: с перева́льцем
разва́лец м 5*a: с разва́льцем [//__разва́льца__]
сенега́лец мо 5*a
бенга́лец мо 5*a
синга́лец мо 5*a
латга́лец мо 5*a
португа́лец мо 5*a
страда́лец мо 5*a
су́здалец мо 5*a
удале́ц мо 5*b
рыда́лец мо 5*a
монреа́лец мо 5*a
забайка́лец мо 5*a
мале́ц мо 5*b [//__ма́лец__ мо 5*a]
гватема́лец мо 5*a
сма́лец м 5*a, Р2
па́лец м 5*a
непа́лец мо 5*a
ура́лец мо 5*a
прованса́лец мо 5*a
верса́лец мо 5*a
скита́лец мо 5*a
капита́лец м 5*a
неандерта́лец мо 5*a
нагле́ц мо 5b
бегле́ц мо 5b
тягле́ц мо 5b
подле́ц мо 5b
еле́ц мо 5*b (_рыба_)
беле́ц мо 5*b
арха́нгелец мо 5*a
деле́ц мо 5*b
владе́лец мо 5*a
землевладе́лец мо 5*a
да̀чевладе́лец мо 5*a
рабовладе́лец мо 5*a
са̀довладе́лец мо 5*a
судовладе́лец мо 5*a
гру̀зовладе́лец мо 5*a
домовладе́лец мо 5*a
това̀ровладе́лец мо 5*a
совладе́лец мо 5*a
а̀втовладе́лец мо 5*a
ша̀хтовладе́лец мо 5*a
земледе́лец мо 5*a
сиде́лец мо 5*a
козеле́ц м 5*b (_растение_)
огнеземе́лец мо 5*a
новоземе́лец мо 5*a
го́мелец мо 5*a
уме́лец мо 5*a
погоре́лец мо 5*a
стреле́ц мо 5*b
марсе́лец мо 5*a
брюссе́лец мо 5*a
теле́ц мо 5*b
прише́лец мо 5*a
вы́жлец мо 5a
злец мо 5b
изра́илец мо 5*a
жиле́ц мо 5*b
брази́лец мо 5*a
однофами́лец мо 5*a
бригадми́лец мо 5*a
корми́лец мо 5*a
гниле́ц м 5*b
пои́лец мо 5*a
касти́лец мо 5*a
